Pulse Width (us),Absolute Step (0-4096)
2670,3003
2665,3003
2660,3003
2655,3003
2650,3002
2645,2995
2640,2987
2635,2976
2630,2969
2625,2966
2620,2959
2615,2948
2610,2940
2605,2934
2600,2928
2595,2920
2590,2915
2585,2908
2580,2901
2575,2894
2570,2888
2565,2882
2560,2874
2555,2867
2550,2860
2545,2857
2540,2852
2535,2842
2530,2832
2525,2827
2520,2821
2515,2819
2510,2811
2505,2801
2500,2794
2495,2786
2490,2777
2485,2771
2480,2766
2475,2762
2470,2754
2465,2746
2460,2742
2455,2737
2450,2729
2445,2722
2440,2720
2435,2712
2430,2701
2425,2692
2420,2684
2415,2682
2410,2678
2405,2676
2400,2669
2395,2660
2390,2650
2385,2642
2380,2634
2375,2628
2370,2622
2365,2614
2360,2608
2355,2604
2350,2598
2345,2589
2340,2582
2335,2578
2330,2568
2325,2559
2320,2552
2315,2545
2310,2536
2305,2529
2300,2522
2295,2515
2290,2507
2285,2500
2280,2496
2275,2490
2270,2480
2265,2471
2260,2462
2255,2455
2250,2449
2245,2447
2240,2441
2235,2435
2230,2430
2225,2422
2220,2414
2215,2411
2210,2401
2205,2392
2200,2382
2195,2374
2190,2368
2185,2360
2180,2352
2175,2344
2170,2336
2165,2331
2160,2327
2155,2322
2150,2313
2145,2305
2140,2297
2135,2294
2130,2287
2125,2275
2120,2268
2115,2264
2110,2256
2105,2251
2100,2242
2095,2234
2090,2225
2085,2219
2080,2211
2075,2209
2070,2200
2065,2192
2060,2185
2055,2182
2050,2174
2045,2168
2040,2160
2035,2154
2030,2150
2025,2143
2020,2136
2015,2131
2010,2126
2005,2115
2000,2107
1995,2101
1990,2096
1985,2088
1980,2079
1975,2070
1970,2068
1965,2063
1960,2055
1955,2047
1950,2041
1945,2032
1940,2025
1935,2021
1930,2010
1925,1995
1920,1987
1915,1983
1910,1974
1905,1964
1900,1958
1895,1954
1890,1946
1885,1941
1880,1937
1875,1929
1870,1920
1865,1910
1860,1903
1855,1901
1850,1895
1845,1887
1840,1878
1835,1871
1830,1867
1825,1857
1820,1849
1815,1845
1810,1841
1805,1831
1800,1824
1795,1820
1790,1814
1785,1807
1780,1799
1775,1790
1770,1779
1765,1771
1760,1764
1755,1757
1750,1749
1745,1744
1740,1737
1735,1730
1730,1724
1725,1712
1720,1703
1715,1697
1710,1693
1705,1688
1700,1680
1695,1674
1690,1667
1685,1660
1680,1654
1675,1648
1670,1641
1665,1631
1660,1623
1655,1617
1650,1609
1645,1601
1640,1598
1635,1589
1630,1579
1625,1571
1620,1564
1615,1558
1610,1551
1605,1544
1600,1536
1595,1529
1590,1523
1585,1513
