Pulse Width (us),Absolute Step (0-4096)
2662,3003
2657,3003
2652,3002
2647,2994
2642,2986
2637,2976
2632,2969
2627,2962
2622,2954
2617,2946
2612,2939
2607,2932
2602,2926
2597,2921
2592,2914
2587,2907
2582,2900
2577,2894
2572,2889
2567,2882
2562,2873
2557,2866
2552,2862
2547,2855
2542,2852
2537,2846
2532,2839
2527,2831
2522,2826
2517,2821
2512,2816
2507,2809
2502,2803
2497,2796
2492,2788
2487,2778
2482,2770
2477,2766
2472,2760
2467,2754
2462,2746
2457,2737
2452,2729
2447,2723
2442,2718
2437,2710
2432,2700
2427,2693
2422,2684
2417,2681
2412,2679
2407,2678
2402,2669
2397,2660
2392,2652
2387,2645
2382,2635
2377,2628
2372,2624
2367,2617
2362,2609
2357,2604
2352,2598
2347,2591
2342,2582
2337,2579
2332,2573
2327,2568
2322,2558
2317,2550
2312,2545
2307,2539
2302,2530
2297,2522
2292,2515
2287,2508
2282,2500
2277,2496
2272,2492
2267,2482
2262,2472
2257,2463
2252,2454
2247,2449
2242,2441
2237,2436
2232,2432
2227,2424
2222,2414
2217,2410
2212,2402
2207,2394
2202,2383
2197,2375
2192,2371
2187,2363
2182,2354
2177,2345
2172,2337
2167,2333
2162,2326
2157,2322
2152,2314
2147,2306
2142,2297
2137,2293
2132,2290
2127,2282
2122,2273
2117,2267
2112,2263
2107,2257
2102,2249
2097,2240
2092,2234
2087,2229
2082,2220
2077,2212
2072,2207
2067,2202
2062,2193
2057,2184
2052,2177
2047,2170
2042,2161
2037,2153
2032,2147
2027,2144
2022,2135
2017,2127
2012,2123
2007,2115
2002,2106
1997,2099
1992,2095
1987,2090
1982,2080
1977,2070
1972,2066
1967,2063
1962,2055
1957,2047
1952,2039
1947,2031
1942,2023
1937,2019
1932,2011
1927,2002
1922,1991
1917,1985
1912,1982
1907,1974
1902,1964
1897,1956
1892,1951
1887,1948
1882,1944
1877,1936
1872,1930
1867,1921
1862,1912
1857,1904
1852,1899
1847,1895
1842,1883
1837,1872
1832,1864
1827,1859
1822,1852
1817,1844
1812,1839
1807,1832
1802,1825
1797,1818
1792,1815
1787,1809
1782,1802
1777,1793
1772,1784
1767,1775
1762,1768
1757,1759
1752,1752
1747,1746
1742,1742
1737,1735
1732,1727
1727,1719
1722,1712
1717,1705
1712,1700
1707,1695
1702,1694
1697,1686
1692,1677
1687,1671
1682,1664
1677,1658
1672,1652
1667,1646
1662,1638
1657,1627
1652,1620
1647,1611
1642,1603
1637,1594
1632,1583
1627,1573
1622,1567
1617,1560
1612,1553
1607,1546
1602,1540
1597,1531
1592,1523
1587,1516
1582,1506
1577,1505
1572,1504
1567,1502
1562,1495
1557,1485
1552,1475
1547,1468
1542,1462
1537,1453
1532,1444
1527,1438
1522,1432
1517,1422
1512,1417
1507,1415
1502,1408
1497,1400
1492,1393
1487,1386
1482,1382
1477,1372
1472,1364
1467,1360
1462,1353
1457,1344
1452,1334
1447,1327
1442,1324
1437,1313
1432,1302
1427,1293
1422,1286
1417,1279
1412,1273
1407,1271
1402,1264
1397,1256
1392,1250
1387,1242
1382,1235
1377,1229
1372,1226
1367,1219
1362,1213
1357,1205
1352,1198
1347,1191
1342,1183
1337,1176
1332,1170
1327,1163
1322,1155
1317,1145
1312,1140
1307,1132
1302,1125
1297,1117
1292,1112
1287,1109
1282,1103
1277,1095
1272,1088
1267,1083
1262,1080
1257,1069
1252,1060
1247,1052
1242,1048
1237,1036
1232,1025
1227,1016
1222,1010
1217,1002
1212,997
1207,994
1202,988
1197,979
1192,970
1187,963
1182,957
1177,949
1172,942
1167,938
1162,930
1157,922
1152,918
1147,911
1142,903
1137,893
1132,886
1127,879
1122,872
1117,862
1112,856
1107,852
1102,843
1097,835
1092,830
1087,826
1082,818
1077,809
1072,805
1067,798
1062,791
1057,786
1052,780
1047,772
1042,764
1037,758
1032,748
1027,736
1022,727
1017,719
1012,710
1007,703
1002,697
997,693
992,684
987,675
982,668
977,661
972,652
967,647
962,640
957,634
952,625
947,618
942,613
937,605
932,596
927,589
922,581
917,574
912,566
907,561
902,553
897,544
892,536
887,529
882,522
877,516
872,507
867,500
862,493
857,488
852,480
847,472
842,468
837,460
832,450
827,439
822,432
817,424
812,417
807,409
802,400
797,391
792,387
787,380
782,374
777,366
772,356
767,349
762,342
757,337
