Pulse Width (us),Absolute Step (0-4096)
2795,3368
2790,3371
2785,3369
2780,3365
2775,3359
2770,3349
2765,3341
2760,3336
2755,3326
2750,3319
2745,3314
2740,3303
2735,3292
2730,3283
2725,3277
2720,3271
2715,3264
2710,3260
2705,3250
2700,3241
2695,3232
2690,3229
2685,3221
2680,3213
2675,3198
2670,3196
2665,3189
2660,3186
2655,3174
2650,3167
2645,3162
2640,3158
2635,3150
2630,3145
2625,3137
2620,3127
2615,3117
2610,3110
2605,3104
2600,3098
2595,3092
2590,3085
2585,3078
2580,3072
2575,3065
2570,3055
2565,3048
2560,3039
2555,3034
2550,3027
2545,3017
2540,3006
2535,2997
2530,2989
2525,2984
2520,2979
2515,2973
2510,2962
2505,2958
2500,2952
2495,2943
2490,2933
2485,2928
2480,2923
2475,2917
2470,2907
2465,2896
2460,2890
2455,2885
2450,2876
2445,2867
2440,2864
2435,2858
2430,2849
2425,2843
2420,2832
2415,2826
2410,2819
2405,2812
2400,2807
2395,2800
2390,2792
2385,2786
2380,2778
2375,2770
2370,2762
2365,2755
2360,2750
2355,2744
2350,2736
2345,2726
2340,2723
2335,2712
2330,2698
2325,2692
2320,2685
2315,2678
2310,2673
2305,2667
2300,2656
2295,2649
2290,2640
2285,2635
2280,2627
2275,2622
2270,2612
2265,2608
2260,2602
2255,2595
2250,2582
2245,2577
2240,2570
2235,2566
2230,2815
2225,2552
2220,2543
2215,2537
2210,2526
2205,2520
2200,2514
2195,2509
2190,2501
2185,2494
2180,2490
2175,2482
2170,2473
2165,2465
2160,2459
2155,2454
2150,2449
2145,2438
2140,2432
2135,2423
2130,2407
2125,2404
2120,2399
2115,2392
2110,2378
2105,2374
2100,2370
2095,2362
2090,2356
2085,2350
2080,2344
2075,2339
2070,2332
2065,2321
2060,2313
2055,2306
2050,2300
2045,2293
2040,2287
2035,2281
2030,2274
2025,2265
2020,2260
2015,2253
2010,2248
2005,2237
2000,2230
1995,2225
1990,2221
1985,2211
1980,2205
1975,2197
1970,2191
1965,2183
1960,2178
1955,2174
1950,2166
1945,2156
1940,2149
1935,2144
1930,2135
1925,2119
1920,2114
1915,2110
1910,2106
1905,2100
1900,2090
1895,2084
1890,2077
1885,2070
1880,2061
1875,2054
1870,2049
1865,2042
1860,2038
1855,2032
1850,2026
1845,2017
1840,2012
1835,2008
1830,2002
1825,1994
1820,1985
1815,1980
1810,1974
1805,1966
1800,1961
1795,1953
1790,1947
1785,1936
1780,1932
1775,1927
1770,1921
1765,1915
1760,1905
1755,1900
1750,1893
1745,1887
1740,1875
1735,1873
1730,1866
1725,1849
1720,1847
1715,1843
1710,1834
1705,1829
1700,1823
1695,1815
1690,1810
1685,1803
1680,1796
1675,1787
1670,1783
1665,1778
1660,1767
1655,1761
1650,1756
1645,1747
1640,1737
1635,1732
1630,1728
1625,1719
1620,1715
1615,1708
1610,1699
1605,1691
1600,1688
1595,1680
1590,1672
1585,1663
1580,1656
1575,1651
1570,1640
1565,1630
1560,1627
1555,1620
1550,1616
1545,1610
1540,1598
1535,1591
1530,1587
1525,1580
1520,1560
1515,1552
1510,1551
1505,1546
1500,1535
1495,1527
1490,1522
1485,1516
1480,1509
1475,1502
1470,1497
1465,1491
1460,1479
1455,1473
1450,1467
1445,1460
1440,1453
1435,1445
1430,1436
1425,1431
1420,1423
1415,1416
1410,1407
1405,1401
1400,1395
1395,1384
1390,1379
1385,1376
1380,1365
1375,1360
1370,1354
1365,1347
1360,1338
1355,1336
1350,1329
1345,1322
1340,1314
1335,1302
1330,1298
1325,1293
1320,1274
1315,1268
1310,1265
1305,1258
1300,1248
1295,1246
1290,1240
1285,1232
1280,1224
1275,1216
1270,1211
1265,1204
1260,1197
1255,1186
1250,1182
1245,1178
1240,1166
1235,1161
1230,1158
1225,1152
1220,1140
1215,1136
1210,1133
1205,1126
1200,1113
1195,1108
1190,1103
1185,1098
1180,1086
1175,1080
1170,1074
1165,1069
1160,1059
1155,1056
1150,1050
1145,1044
1140,1037
1135,1029
1130,1022
1125,1016
1120,1007
1115,994
1110,988
1105,979
1100,972
1095,966
1090,961
1085,955
1080,948
1075,941
1070,934
1065,928
1060,920
1055,917
1050,911
1045,901
1040,896
1035,887
1030,879
1025,874
1020,868
1015,858
1010,854
1005,850
1000,844
995,836
990,830
985,825
980,818
975,812
970,805
965,798
960,788
955,779
950,774
945,770
940,763
935,755
930,746
925,740
920,734
915,729
910,715
905,709
900,703
895,691
890,688
885,683
880,676
875,670
870,661
865,656
860,652
855,641
850,636
845,630
840,624
835,616
830,610
825,604
820,599
815,592
810,584
805,578
800,570
795,563
790,556
785,546
780,541
775,532
770,526
765,520
760,516
755,509
750,498
745,495
740,492
735,483
730,476
725,468
720,460
715,455
710,444
705,435
700,427
695,422
690,415
685,405
680,400
675,394
670,386
665,379
660,373
655,367
650,358
645,352
640,346
635,338
630,332
625,326
620,317
615,307
610,304
605,295
600,289
595,278
590,273
585,266
580,262
575,258
570,248
565,242
560,235
555,227
550,218
545,213
540,208
535,203
530,193
525,187
520,181
515,174
510,165
505,155
500,145
495,139
490,129
485,126
480,120
475,112
470,102
465,96
460,90
455,83
450,75
445,71
440,61
435,55
430,50
425,45
420,38
415,30
410,23
405,18
405,21
410,18
415,21
420,24
425,31
430,41
435,48
440,53
445,60
450,69
455,71
460,78
465,86
470,96
475,101
480,104
485,111
490,120
495,128
500,136
505,142
510,149
515,160
520,166
525,173
530,185
535,189
540,197
545,202
550,211
555,219
560,222
565,228
570,233
575,243
580,252
585,260
590,269
595,274
600,278
605,285
610,291
615,297
620,307
625,311
630,318
635,324
640,333
645,341
650,351
655,358
660,361
665,370
670,379
675,385
680,389
685,394
690,406
695,410
700,418
705,425
710,433
715,439
720,450
725,460
730,466
735,473
740,477
745,486
750,494
755,502
760,504
765,512
770,516
775,526
780,530
785,537
790,544
795,551
800,558
805,565
810,574
815,584
820,587
825,593
830,600
