Pulse Width (us),Absolute Step (0-4096)
2599,2837
2598,2832
2597,2828
2596,2828
2595,2828
2594,2828
2593,2825
2592,2820
2591,2820
2590,2820
2589,2820
2588,2817
2587,2813
2586,2813
2585,2813
2584,2813
2583,2811
2582,2809
2581,2810
2580,2809
2579,2806
2578,2803
2577,2803
2576,2803
2575,2803
2574,2800
2573,2797
2572,2797
2571,2796
2570,2797
2569,2794
2568,2787
2567,2787
2566,2787
2565,2787
2564,2783
2563,2778
2562,2778
2561,2778
2560,2778
2559,2776
2558,2773
2557,2774
2556,2774
2555,2773
2554,2772
2553,2771
2552,2771
2551,2771
2550,2771
2549,2768
2548,2766
2547,2766
2546,2766
2545,2766
2544,2762
2543,2758
2542,2758
2541,2758
2540,2754
2539,2750
2538,2750
2537,2750
2536,2750
2535,2747
2534,2746
2533,2746
2532,2746
2531,2746
2530,2744
2529,2740
2528,2740
2527,2740
2526,2740
2525,2739
2524,2735
2523,2735
2522,2735
2521,2735
2520,2733
2519,2730
2518,2730
2517,2730
2516,2730
2515,2727
2514,2725
2513,2725
2512,2725
2511,2725
2510,2721
2509,2716
2508,2716
2507,2716
2506,2716
2505,2714
2504,2710
2503,2710
2502,2710
2501,2710
2500,2708
2499,2701
2498,2700
2497,2700
2496,2699
2495,2692
2494,2692
2493,2692
2492,2692
2491,2688
2490,2686
2489,2686
2488,2686
2487,2686
2486,2683
2485,2680
2484,2680
2483,2680
2482,2680
2481,2677
2480,2674
2479,2674
2478,2674
2477,2674
2476,2671
2475,2668
2474,2668
2473,2667
2472,2668
2471,2662
2470,2657
2469,2658
2468,2657
2467,2657
2466,2656
2465,2656
2464,2656
2463,2656
2462,2656
2461,2653
2460,2651
2459,2651
2458,2651
2457,2647
2456,2643
2455,2642
2454,2643
2453,2643
2452,2640
2451,2635
2450,2636
2449,2636
2448,2636
2447,2634
2446,2631
2445,2631
2444,2631
2443,2631
2442,2628
2441,2623
2440,2622
2439,2619
2438,2618
2437,2616
2436,2612
2435,2612
2434,2612
2433,2612
2432,2609
2431,2604
2430,2604
2429,2604
2428,2604
2427,2602
2426,2597
2425,2597
2424,2597
2423,2597
2422,2594
2421,2593
2420,2593
2419,2593
2418,2592
2417,2592
2416,2592
2415,2592
2414,2592
2413,2589
2412,2587
2411,2588
2410,2588
2409,2588
2408,2586
2407,2580
2406,2580
2405,2580
2404,2580
2403,2578
2402,2573
2401,2570
2400,2570
2399,2570
2398,2566
2397,2563
2396,2563
2395,2563
2394,2563
2393,2560
2392,2555
2391,2554
2390,2554
2389,2555
2388,2552
2387,2546
2386,2546
2385,2546
2384,2546
2383,2545
2382,2543
2381,2543
2380,2543
2379,2543
2378,2540
2377,2538
2376,2538
2375,2538
2374,2534
2373,2529
2372,2529
2371,2529
2370,2529
2369,2525
2368,2522
2367,2522
2366,2522
2365,2522
2364,2519
2363,2515
2362,2515
2361,2515
2360,2515
2359,2513
2358,2513
2357,2513
2356,2513
2355,2513
2354,2508
2353,2503
2352,2502
2351,2502
2350,2502
2349,2499
2348,2496
2347,2496
2346,2496
2345,2496
2344,2494
2343,2492
2342,2491
2341,2492
2340,2491
2339,2490
2338,2486
2337,2486
2336,2486
2335,2483
2334,2479
2333,2479
2332,2479
2331,2479
2330,2475
2329,2470
2328,2470
2327,2470
2326,2470
2325,2467
2324,2464
2323,2464
2322,2464
2321,2464
2320,2461
2319,2457
2318,2457
2317,2457
2316,2457
2315,2455
2314,2452
2313,2452
2312,2452
2311,2452
2310,2450
2309,2443
2308,2443
2307,2443
2306,2443
2305,2439
2304,2435
2303,2435
2302,2435
2301,2435
2300,2432
2299,2428
2298,2428
2297,2428
2296,2425
2295,2422
2294,2422
2293,2422
2292,2422
2291,2420
2290,2413
2289,2413
2288,2413
2287,2413
2286,2412
2285,2410
2284,2410
2283,2410
2282,2410
2281,2406
2280,2404
2279,2404
2278,2404
2277,2404
2276,2399
2275,2392
2274,2391
2273,2391
2272,2391
2271,2388
2270,2383
2269,2383
2268,2383
2267,2383
2266,2381
2265,2374
2264,2373
2263,2373
2262,2373
2261,2373
2260,2373
2259,2373
2258,2373
2257,2373
2256,2368
2255,2364
2254,2364
2253,2364
2252,2361
2251,2361
2250,2361
2249,2362
2248,2361
2247,2358
2246,2354
2245,2355
2244,2354
2243,2355
2242,2352
2241,2349
2240,2349
2239,2349
2238,2349
2237,2347
2236,2347
2235,2347
2234,2347
2233,2347
2232,2343
2231,2336
2230,2335
2229,2335
2228,2335
2227,2332
2226,2327
2225,2327
2224,2327
2223,2327
2222,2325
2221,2322
2220,2322
2219,2322
2218,2322
2217,2319
2216,2315
2215,2315
2214,2314
2213,2308
2212,2305
2211,2305
2210,2305
2209,2305
2208,2302
2207,2295
2206,2295
2205,2295
2204,2295
2203,2292
2202,2286
2201,2286
2200,2286
2199,2286
2198,2285
2197,2285
2196,2285
2195,2285
2194,2285
2193,2281
2192,2275
2191,2274
2190,2274
2189,2274
2188,2270
2187,2267
2186,2267
2185,2267
2184,2267
2183,2263
2182,2259
2181,2259
2180,2259
2179,2259
2178,2257
2177,2251
2176,2251
2175,2251
2174,2249
2173,2245
2172,2245
2171,2245
2170,2245
2169,2243
2168,2240
2167,2240
2166,2240
2165,2240
2164,2236
2163,2235
2162,2235
2161,2235
2160,2235
2159,2232
2158,2228
2157,2228
2156,2228
2155,2228
2154,2226
2153,2219
2152,2219
2151,2219
2150,2219
2149,2216
2148,2212
2147,2211
2146,2211
2145,2211
2144,2207
2143,2206
2142,2206
2141,2206
2140,2206
2139,2204
2138,2203
2137,2203
2136,2203
2135,2203
2134,2200
2133,2194
2132,2194
2131,2194
2130,2192
2129,2188
2128,2188
2127,2188
2126,2188
2125,2186
2124,2183
2123,2182
2122,2183
2121,2183
2120,2180
2119,2177
2118,2177
2117,2177
2116,2177
2115,2173
2114,2170
2113,2170
2112,2170
2111,2170
2110,2168
2109,2165
2108,2165
2107,2165
2106,2165
2105,2163
2104,2155
2103,2155
2102,2155
2101,2155
2100,2150
2099,2148
2098,2148
2097,2148
2096,2148
2095,2144
2094,2141
2093,2141
2092,2141
2091,2138
2090,2136
2089,2136
2088,2136
2087,2136
2086,2132
2085,2127
2084,2127
2083,2127
2082,2127
2081,2125
2080,2124
2079,2124
2078,2124
2077,2124
2076,2118
2075,2116
2074,2117
2073,2117
2072,2116
2071,2111
2070,2106
2069,2106
2068,2106
2067,2106
2066,2104
2065,2099
2064,2099
2063,2099
2062,2099
2061,2097
2060,2094
2059,2094
2058,2094
2057,2094
2056,2091
2055,2088
2054,2088
2053,2088
2052,2084
2051,2083
2050,2082
2049,2083
2048,2083
2047,2079
2046,2076
2045,2076
2044,2076
2043,2076
2042,2072
2041,2068
2040,2068
2039,2068
2038,2068
2037,2065
2036,2063
2035,2063
2034,2063
2033,2063
2032,2061
2031,2057
2030,2057
2029,2057
2028,2057
2027,2055
2026,2053
2025,2053
2024,2053
2023,2053
2022,2049
2021,2044
2020,2044
2019,2044
2018,2043
2017,2041
2016,2038
2015,2038
2014,2038
2013,2038
2012,2035
2011,2028
2010,2028
2009,2028
2008,2027
2007,2024
2006,2021
2005,2021
2004,2021
2003,2018
2002,2017
2001,2017
2000,2017
1999,2017
1998,2013
1997,2009
1996,2009
1995,2009
1994,2009
1993,2006
1992,2004
1991,2004
1990,2004
1989,2004
1988,2001
1987,1995
1986,1994
1985,1993
1984,1994
1983,1989
1982,1984
1981,1984
1980,1984
1979,1984
1978,1981
1977,1981
1976,1981
1975,1981
1974,1981
1973,1978
1972,1976
1971,1976
1970,1976
1969,1973
1968,1968
1967,1968
1966,1968
1965,1968
1964,1966
1963,1960
1962,1959
1961,1959
1960,1959
1959,1958
1958,1958
1957,1958
1956,1958
1955,1958
1954,1953
1953,1944
1952,1943
1951,1943
1950,1943
1949,1941
1948,1940
1947,1940
1946,1940
1945,1940
1944,1937
1943,1934
1942,1934
1941,1934
1940,1934
1939,1930
1938,1927
1937,1926
1936,1924
1935,1924
1934,1921
1933,1915
1932,1915
1931,1915
1930,1910
1929,1907
1928,1907
1927,1907
1926,1907
1925,1903
1924,1900
1923,1900
1922,1900
1921,1900
1920,1898
1919,1897
1918,1897
1917,1897
1916,1897
1915,1894
1914,1886
1913,1883
1912,1883
1911,1883
1910,1881
1909,1880
1908,1880
1907,1880
1906,1880
1905,1876
1904,1873
1903,1873
1902,1873
1901,1873
1900,1869
1899,1867
1898,1867
1897,1867
1896,1867
1895,1864
1894,1859
1893,1859
1892,1859
1891,1859
1890,1856
1889,1855
1888,1855
1887,1855
1886,1851
1885,1850
1884,1850
1883,1850
1882,1850
1881,1846
1880,1842
1879,1842
1878,1842
1877,1842
1876,1839
1875,1834
1874,1834
1873,1834
1872,1834
1871,1832
1870,1824
1869,1822
1868,1822
1867,1822
1866,1818
1865,1817
1864,1817
1863,1817
1862,1817
1861,1814
1860,1812
1859,1812
1858,1812
1857,1812
1856,1809
1855,1808
1854,1808
1853,1808
1852,1808
1851,1805
1850,1801
1849,1801
1848,1801
1847,1797
1846,1791
1845,1791
1844,1791
1843,1791
1842,1787
1841,1786
1840,1786
1839,1786
1838,1786
1837,1783
1836,1779
1835,1779
1834,1779
1833,1779
1832,1775
1831,1771
1830,1771
1829,1772
1828,1772
1827,1769
1826,1765
1825,1765
1824,1765
1823,1765
1822,1760
1821,1758
1820,1758
1819,1758
1818,1758
1817,1753
1816,1750
1815,1751
1814,1750
1813,1750
1812,1747
1811,1745
1810,1745
1809,1745
1808,1742
1807,1738
1806,1738
1805,1738
1804,1738
1803,1735
1802,1732
1801,1732
1800,1732
1799,1732
1798,1730
1797,1727
1796,1727
1795,1727
1794,1727
1793,1724
1792,1720
1791,1720
1790,1720
1789,1720
1788,1718
1787,1714
1786,1714
1785,1714
1784,1715
1783,1712
1782,1707
1781,1706
1780,1706
1779,1706
1778,1703
1777,1695
1776,1693
1775,1693
1774,1693
1773,1690
1772,1687
1771,1687
1770,1687
1769,1687
1768,1684
1767,1682
1766,1681
1765,1681
1764,1677
1763,1673
1762,1672
1761,1672
1760,1672
1759,1668
1758,1664
1757,1664
1756,1664
1755,1664
1754,1662
1753,1659
1752,1659
1751,1659
1750,1659
1749,1655
1748,1652
1747,1652
1746,1652
1745,1652
1744,1651
1743,1648
1742,1648
1741,1648
1740,1648
1739,1645
1738,1639
1737,1636
1736,1636
1735,1637
1734,1635
1733,1631
1732,1629
1731,1629
1730,1629
1729,1626
1728,1624
1727,1624
1726,1624
1725,1621
1724,1621
1723,1618
1722,1618
1721,1618
1720,1616
1719,1613
1718,1613
1717,1613
1716,1613
1715,1611
1714,1608
1713,1608
1712,1608
1711,1608
1710,1605
1709,1603
1708,1603
1707,1603
1706,1603
1705,1599
1704,1596
1703,1595
1702,1595
1701,1595
1700,1595
1699,1595
1698,1595
1697,1595
1696,1595
1695,1590
1694,1584
1693,1583
1692,1582
1691,1582
1690,1580
1689,1577
1688,1577
1687,1577
1686,1575
1685,1571
1684,1571
1683,1571
1682,1571
1681,1570
1680,1565
1679,1564
1678,1564
1677,1564
1676,1562
1675,1557
1674,1556
1673,1556
1672,1556
1671,1554
1670,1548
1669,1547
1668,1546
1667,1546
1666,1545
1665,1543
1664,1543
1663,1543
1662,1543
1661,1541
1660,1536
1659,1536
1658,1536
1657,1536
1656,1532
1655,1526
1654,1525
1653,1525
1652,1525
1651,1522
1650,1520
1649,1520
1648,1520
1647,1520
1646,1519
1645,1515
1644,1515
1643,1515
1642,1515
1641,1513
1640,1508
1639,1505
1638,1504
1637,1502
